decomposer,dataset,ACC,CC,EDy_EMD,EDy_Eu,"IBU (o=0, i=0.01)","IBU (o=0, i=0.1)","IBU (o=1, i=0.01)","IBU (o=1, i=0.1)",PACC,PCC,PDF_EMD,RUN (tau=1.0),RUN (tau=10.0),RUN (tau=100.0),SLD,SVD (tau=0.001),SVD (tau=0.01),SVD (tau=0.1),o-ACC (tau=0.001),o-ACC (tau=0.01),o-ACC (tau=0.1),"o-EDy (tau=0.001, d=EMD)","o-EDy (tau=0.01, d=EMD)","o-EDy (tau=0.1, d=EMD)","o-HDx (tau=0.001, 16 bins per feature)","o-HDx (tau=0.001, 8 bins per feature)","o-HDx (tau=0.1, 16 bins per feature)","o-HDx (tau=0.1, 8 bins per feature)","o-HDy (tau=0.001, 4 bins per class)","o-HDy (tau=0.001, 8 bins per class)","o-HDy (tau=0.1, 4 bins per class)","o-HDy (tau=0.1, 8 bins per class)",o-PACC (tau=0.001),o-PACC (tau=0.01),o-PACC (tau=0.1),"o-PDF (tau=0.001, J=100, d=s-EMD)","o-PDF (tau=0.01, J=100, d=s-EMD)","o-PDF (tau=0.1, J=100, d=s-EMD)","o-SLD (o=0, i=0.01)","o-SLD (o=0, i=0.1)","o-SLD (o=1, i=0.01)","o-SLD (o=1, i=0.1)",error
Monotone,californiahousing_gago,0.07312,0.25325,0.05551,0.05157,0.06808,0.12543,0.0681,0.12666,0.05838,0.31146,0.06404,0.07171,0.06931,0.08388,0.60936,0.06865,0.09977,0.17478,0.06949,0.09953,0.17595,0.06871,0.12834,0.19554,0.14343,0.15774,0.19873,0.19704,0.05752,0.05304,0.10259,0.10317,0.10048,0.15885,0.22672,0.06379,0.07249,0.12793,0.57925,0.45769,0.57961,0.46856,emd
Monotone,cement_strength_gago,0.13477,0.16069,0.1188,0.11839,0.12228,0.11947,0.12245,0.12018,0.12609,0.25337,0.12196,0.12772,0.12365,0.16532,0.20556,0.13168,0.12767,0.16353,0.13272,0.1259,0.15801,0.11456,0.12972,0.18071,0.26291,0.29367,0.26189,0.27525,0.12634,0.11713,0.14181,0.14231,0.12144,0.13822,0.19723,0.12595,0.12474,0.13021,0.19768,0.17355,0.19859,0.17961,emd
Monotone,kinematics_gago,0.3259,0.38554,0.21008,0.20575,0.23957,0.28058,0.23948,0.28024,0.30508,0.48669,0.24561,0.30086,0.26217,0.25925,0.33153,0.26634,0.26214,0.28836,0.26373,0.26329,0.2919,0.22542,0.24576,0.27968,0.3708,0.38039,0.34165,0.33229,0.32965,0.30935,0.27026,0.26555,0.24182,0.27705,0.32627,0.26874,0.23984,0.25109,0.29793,0.25998,0.30576,0.30436,emd
Monotone,skill_gago,0.43602,0.35586,0.31926,0.35021,0.3052,0.2696,0.30549,0.27107,0.42681,0.43512,0.31786,0.39292,0.33647,0.29127,1.0403,0.37047,0.31561,0.30339,0.38119,0.31665,0.29559,0.28921,0.26333,0.26292,0.42099,0.40344,0.35898,0.31975,0.38043,0.33664,0.27108,0.2652,0.29721,0.28398,0.30272,0.32199,0.28961,0.26665,1.00819,0.86461,1.00711,0.86013,emd
Monotone,stock.ord,0.06228,0.06289,0.05135,0.05223,0.0526,0.05111,0.0526,0.0512,0.05642,0.09791,0.05038,0.05375,0.05538,0.10784,0.04312,0.0594,0.05994,0.10964,0.06186,0.06057,0.09569,0.04713,0.05084,0.11997,0.08433,0.09037,0.12514,0.12313,0.05262,0.06969,0.07327,0.09923,0.05597,0.05604,0.11035,0.06573,0.06588,0.06676,0.04195,0.03958,0.04198,0.03986,emd
Monotone,winequality-red_gago,0.67758,0.50285,0.55429,0.61206,0.61199,0.47182,0.6148,0.48165,0.68841,0.53203,0.65528,0.68028,0.6087,0.54484,1.57237,0.68533,0.60303,0.56161,0.64167,0.57556,0.52544,0.53952,0.46677,0.43345,0.80171,0.68074,0.69736,0.64996,0.59968,0.66038,0.48411,0.57298,0.48376,0.42889,0.41807,0.58086,0.54456,0.47013,1.53307,1.35256,1.5774,1.63217,emd
Monotone,winequality-white_gago_rev,0.49943,0.4778,0.3902,0.39366,0.39461,0.34086,0.402,0.37034,0.5884,0.52039,0.52823,0.48086,0.44965,0.40977,1.6621,0.45014,0.40071,0.38338,0.45375,0.40164,0.39719,0.42163,0.39178,0.38892,0.63983,0.59158,0.63804,0.57791,0.4987,0.49448,0.41089,0.42829,0.42809,0.40205,0.3875,0.49981,0.45891,0.41736,1.65296,1.58717,1.66542,1.68207,emd
Monotone,ERA,0.82398,0.87935,0.85951,0.85807,0.85877,0.88894,0.85813,0.88571,0.83705,0.88466,0.84999,0.83617,0.85823,0.87423,0.78173,0.83462,0.85552,0.86914,0.8346,0.85918,0.87157,0.8731,0.88164,0.88606,0.86966,0.85577,0.88878,0.88178,0.83609,0.86316,0.86704,0.88619,0.86619,0.87491,0.87906,0.85786,0.8686,0.87808,0.78859,0.81834,0.78796,0.81545,emd_score
Monotone,ESL,0.92235,0.92083,0.94167,0.93752,0.93016,0.93552,0.93011,0.93507,0.93335,0.91649,0.94401,0.92777,0.93058,0.91499,0.93253,0.92509,0.92882,0.9227,0.92296,0.92662,0.92278,0.94257,0.94326,0.92503,0.92017,0.91931,0.91698,0.91683,0.93146,0.92796,0.92785,0.92146,0.93587,0.93789,0.92082,0.91385,0.91465,0.91561,0.93632,0.94453,0.93631,0.94444,emd_score
Monotone,LEV,0.86557,0.89551,0.882,0.88816,0.8873,0.9056,0.88682,0.9042,0.8793,0.86945,0.88981,0.87324,0.8928,0.89928,0.76204,0.86834,0.88474,0.88997,0.86912,0.88654,0.89728,0.89439,0.90544,0.90035,0.86095,0.86175,0.87907,0.87907,0.88385,0.87289,0.90019,0.88449,0.89518,0.903,0.89632,0.88238,0.88943,0.89842,0.76629,0.78449,0.76612,0.78355,emd_score
Monotone,SWD,0.84945,0.87626,0.89052,0.8976,0.87077,0.88626,0.86994,0.88421,0.8942,0.84028,0.86961,0.85883,0.87165,0.87619,0.62488,0.85526,0.86871,0.87445,0.85243,0.86647,0.87438,0.88903,0.89136,0.87987,0.8605,0.85963,0.87316,0.87319,0.8748,0.85407,0.88492,0.87159,0.89721,0.88797,0.87166,0.86665,0.87105,0.88132,0.62859,0.65293,0.6272,0.63915,emd_score
